"","itens"
"5291","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESC. ADULTO TAMANHO M - BIOFRAL"
"5292",""
"5293","CONFORT"
"5294","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESC. ADULTO TAMANHO P/M -"
"5295",""
"5296","PLENITUD ACTIVE PLUS"
"5297","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESC. ADULTO TAMANHO XG - NATURAL"
"5298",""
"5299","MASTER"
"5300","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESC. ADULTO,TAM P - NATURAL MASTER"
"5301","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESC.ADULTO EG,+90KG,CINTURA"
"5302",""
"5303","120A165CM-CONFORT MASTER"
"5304","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESC.ADULTO G,+70KG,CINTURA 115A"
"5305",""
"5306","150CM-CONFORT MASTER"
"5307","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESC.ADULTO"
"5308",""
"5309","G,70A90KG,CINTURA115A150CM-BIGFRAL NOTURN"
"5310","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESC.ADULTO M,"
"5311",""
"5312","40A70KG,CINTURA80A115CM-BIGFRAL PLUS"
"5313","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESC.ADULTO"
"5314",""
"5315","M,40A70KG,CINTURA80A115CM-BIGFRAL NOTURNA"
"5316","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESC.ADULTO P,"
"5317",""
"5318","30A40KG,CINTURA50A80CM-BIGFRAL PLUS"
"5319","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESC.ADULTO XG, +"
"5320",""
"5321","90KG,CINTURA120A165CM-BIGFRAL PLUS"
"5322","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESC.INFANT.XXG, ELASTICO PARTE TRAS"
"5323",""
"5324","CINTURA, 15-25KG"
"5325","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESC.JUVENIL,"
"5326",""
"5327","20A33KG,CINTURA42A72CM-BIGFRAL PLUS"
"5328","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESCART.INFANTIL,TAMANHO SUPER"
"5329",""
"5330","EXTRA GRANDE,15 A 25KG"
"5331","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESCARTAVEL ADULTO TAMANHO G-BIG"
"5332",""
"5333","FRAL PLUS"
"5334","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESCARTAVEL ADULTO TAMANHO M -"
"5335",""
"5336","NATURAL MASTER"
"5337","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESCARTAVEL ADULTO TAMANHO M -"
"5338",""
"5339","TENA CONFORT"
"5340","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESCARTAVEL ADULTO, TAMANHO G -"
"5341",""
"5342","MILI"
"5343","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESCARTAVEL ADULTO, TAMANHO M -"
"5344",""
"5345","MILI"
"5346","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESCARTAVEL GERIATRICA GG - SEVEN"
"5347","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESCARTAVEL INFANTIL, TAMANHO G,"
"5348",""
"5349","PARA USO NA AGUA"
"5350","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESCARTAVEL INFANTIL, TAMANHO XXG-"
"5351",""
"5352","PAMPERS CONFORT SEC"
"5353","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA DESCARTÇVEL ADULTO TAMANHO G-BIG"
"5354",""
"5355","FRAL PLUS NOTURNA"
"5356","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA GERIATRCA, TAMNHO G - TENA SLIP"
"5357",""
"5358","ULTRA"
"5359","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA INFANTIL XG-TURMA DA"
"5360",""
"5361","MONICA/HUGGIES/PAMPERS/CREMER"
"5362","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA INFANTIL XXG-TURMA DA"
"5363",""
"5364","MONICA/HUGGIES/PAMPERS/CREMER"
"5365","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) FRALDA INFANTIL, GRANDINHOS 15 A 24KG -"
"5366",""
"5367","POMPOM PROTEK"
"5368","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) GEL DE BANHO,500ML-ATODERM GEL DOUCHE"
"5369",""
"5370","BIODERMA"
"5371","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) GEL DE SILICONE P/TRATAMENTO CICATRIZES 15"
"5372",""
"5373","G-KELO COTE GEL"
"5374","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) GEL HIDRATANTE C/ALGINATO, 85G - ALLY GEL OU"
"5375",""
"5376","SAF GEL"
"5377","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) GEL HIDRATANTE COM ACIDOS GRAXOS, 85 G -"
"5378",""
"5379","DERSANI HIDROGEL"
"5380","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) GLICERINA 10%+ALANTO÷NA 1%+COLD CREAM"
"5381",""
"5382","QSP 200G"
"5383","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) GLICOSIMETRO COMODATO TIRAS 009695001"
"5384","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) HIDRAT. CORP. INTENSIVO, S/FRAGR.Ä200ML-"
"5385",""
"5386","NEUTROGENAÄNORWEGIAN"
"5387","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) HIDRATANTE CORPORAL, 200 ML - LIPIKAR"
"5388",""
"5389","BAUME AP+"
"5390","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) HIDRATANTE CORPORAL,500ML- ATODERM"
"5391",""
"5392","INTENSIVE BIODERMA"
"5393","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) HIDRATANTE NATURAL, 200 ML - REGENÖR"
"5394",""
"5395","EMULSAO SUMRED"
"5396","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) HIDRATANTE PARA OS PÔS - ATRAC TAINÄ"
"5397","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) HIDRATANTE PREBIOTICO RESTAURADOR, 400 G -"
"5398",""
"5399","HIDRADEEP CALM"
"5400","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) HIDRATANTE REPARADOR, BISNAGA 40 ML -"
"5401",""
"5402","CICAPLAST BAUME"
"5403","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) HIDROGEL DE POLIHEXANIDA 0,1 % BETAINA"
"5404","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) KIT - SERVICE PACK SMALL ACCU-CHECK SPIRIT"
"5405",""
"5406","COMBO"
"5407","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) KIT SISTEMA DE INFUSAO CONTINUA DE INSULINA"
"5408",""
"5409","(BOMBA) 6/60"
"5410","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) KIT SISTEMA DE INFUSAO CONTINUA DE INSULINA"
"5411",""
"5412","(BOMBA)8 A 9/60"
"5413","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) KIT SISTEMA DE INFUSAO CONTINUA DE"
"5414",""
"5415","INSULINA(BOMBA)10 A 17/60"
"5416","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LANCETA - ACCU_CHECK SAFE-T-PRO UNO"
"5417","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LANCETA - ACCU-CHECK SOFTCLIX"
"5418","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LANCETA - G-TECH LAN2810G"
"5419","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LANCETA - ONETOUCH"
"5420","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LANCETAS - ACCU-CHEK FASTCLIX"
"5421","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LANCETAS - FREESTYLE LANCETS"
"5422","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LEITOR DE GLICOSE  - FREESTYLE LIBRE"
"5423","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LENCO UMEDECIDO, (TOALHA), MEDINDO, NO"
"5424",""
"5425","MINIMO, 18 X 13 CM"
"5426","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO DE LIMPEZA, 120 ML - CETAPHIL"
"5427","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO HIDRAT. CORPORAL HIPOALERGÕ. 200ML-"
"5428",""
"5429","STIEFEL FISIOGEL AI"
"5430","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO HIDRATANTE 200 ML - NEUTROGENA BODY"
"5431",""
"5432","CARE INTENSIVE"
"5433","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO HIDRATANTE A BASE DE AGE, 200 ML  -"
"5434",""
"5435","SANISKIN"
"5436","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO HIDRATANTE CORPORAL"
"5437",""
"5438","HIPOALERGÕN.120ML-STIEFEL FISIOGEL"
"5439","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO HIDRATANTE CORPORAL"
"5440",""
"5441","HIPOALERGÕN.400ML-STIEFEL FISIOGEL"
"5442","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO HIDRATANTE CORPORAL, 200 ML - LIPIKAR"
"5443","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO HIDRATANTE CORPORAL, 200 ML -"
"5444",""
"5445","NEUTROGENA NORWEGIAN"
"5446","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO HIDRATANTE INFANTIL, 200 G - HIDRAKIDS"
"5447","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO HIDRATANTE PARA PELE SENSIVEIS, 500"
"5448",""
"5449","ML - UMIDITÇ LOCAO"
"5450","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO HIDRATANTE, 295 ML - CETAPHIL"
"5451",""
"5452","RESTORADERM"
"5453","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO HIDRATANTE, 300 ML - NUTRAPLUS"
"5454","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO HIDRATANTE, 473 ML -  CETAPHIL"
"5455",""
"5456","ADVANCED  MOISTURIZER"
"5457","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO HIDRATANTE, CREME, 30 G - FISIOGEL A.I."
"5458",""
"5459","CREME"
"5460","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO HIDRATANTE,FRASCO 120 ML - UMIDITA AI"
"5461","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO PARA PERNAS E PÔS, HIPOALERGÕNICO,"
"5462",""
"5463","200 ML"
"5464","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LOCAO, FRASCO 125 ML - EUCERIN PH5"
"5465","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) LUBRIFICANTE INTIMO, GEL, 50 G"
"5466","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MALHA TUBULAR ELASTICA NC 5"
"5467","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MALHA TUBULAR ELASTICA NC 7, PERINEAL,"
"5468",""
"5469","TORAXÄE ABDOMEN"
"5470","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEIA CALCA 3/4, 20-30 MMHG, TAMANHO M2 -"
"5471",""
"5472","SIGVARIS"
"5473","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEIA CALCA ELASTICA TAMANHO M, 20 -30 MMHG -"
"5474",""
"5475","SIGVARIS AT863"
"5476","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEIA ELASTICA 30-40 MMHG,"
"5477",""
"5478","3/4(PANTURRILHA),TAM.G3 - SIGVARIS"
"5479","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEIA ELASTICA 7/8 DE MEDIA COMPRESSAO"
"5480","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEIA ELASTICA MEDIA COMPRESSAO TAMANHO"
"5481",""
"5482","7/8(ATE O JOELHO)-M"
"5483","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEIA ELASTICA, 20-30 MMHG, 3/4, SEM PONTEIRA,"
"5484",""
"5485","G2 - SIGVARISÄ"
"5486","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEIA ELASTICA, 20-30 MMHG, 3/4, TAMANHO G3 -"
"5487",""
"5488","SIGVARIS"
"5489","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEIA ELASTICA, 20-30 MMHG, CALCA, S/PONTEIRA,"
"5490",""
"5491","G2 - SIGVARIS"
"5492","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEIA ELASTICA, 30-40 MMHG,  3/4, TAMANHO M"
"5493","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEIA ELASTICA, 30-40 MMHG, 7/8, TAMANHO G -"
"5494",""
"5495","SIGVARIS"
"5496","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEIA ELASTICA, 30-40 MMHG, CALCA,TAMANHO G -"
"5497",""
"5498","SIGVARIS"
"5499","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEIA ELASTICA, 30-40MMHG,CALCA,G3- SIGVARIS"
"5500","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEIA ELASTICA,30/40 MMHG,CALCA,TAMANHO"
"5501",""
"5502","M(ALTA COMPRESSAO)"
"5503","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEIA ELÇSTICA, 20-30 MMHG, 3/4, TAMANHO GG"
"5504","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEIA ELÇSTICA, 20-30 MMHG, CALCA, TAMANHO G -"
"5505",""
"5506","SIGVARIS"
"5507","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) MEMBRANA REGENERADORA 10 X 7,5 , PECA -"
"5508",""
"5509","MEMBRACEL"
"5510","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) OLAMINA + PIRITIONA + SALICILICO, SHAMPOO,"
"5511",""
"5512","120 A 150ML"
"5513","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) OLEO ROSA MOSQUETA 50ML"
"5514","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) OLEOPARA BANHO SEM PERFUME,200 ML"
"5515","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PELICULA PROTETORA 100% CIANOACRILATO, 0,5"
"5516",""
"5517","ML"
"5518","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PLACA P/OSTOMIA 15 A 23 MM-COLOPLAST"
"5519",""
"5520","SENSURA CONVEX XPRO"
"5521","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR CUTÅNEO, SPRAY, 28 ML - CAVILON"
"5522","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR DIARIO P/ROSTO, AREIA FPS 30, 50 ML-"
"5523",""
"5524","CHRONOS HYDRA"
"5525","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR FPS50,50ML-PHYSICAL FUSION UV"
"5526",""
"5527","DEFENSE SKINCEUTICALS"
"5528","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR LABIAL FPS 30, 5,5 G - EPIDRAT LÇBIOS"
"5529","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR  FPS 45, FRASCO 100 G"
"5530","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR  GEL  FPS 30, 60 G - EPISOL"
"5531",""
"5532","WATER GEL"
"5533","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR FPS 100, COM COR ESCURA, 40"
"5534",""
"5535","ML"
"5536","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR FPS 30, AEROSOL, 150 A 200 ML"
"5537","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR FPS 30, GEL CREME, 60 G-"
"5538",""
"5539","SUNMAX SENSITIVE"
"5540","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR FPS 50, 120 ML - NEUTROGENA"
"5541",""
"5542","SUN FRESH"
"5543","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR FPS 50, CREME-GEL, 120 G -"
"5544",""
"5545","FILTRUM VIT 50"
"5546","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR FPS 50, CREME, 120 A 125 ML"
"5547","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR FPS 50, CREME/LOCAO,"
"5548",""
"5549","S/FRAGRÅNCIA,120 A 125ML"
"5550","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR FPS 50, GEL CREME, 50 G -"
"5551",""
"5552","ANTHELIOS AE"
"5553","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR FPS 50, GEL CREME, 60 ML-"
"5554",""
"5555","SUNMAX SENSITIVE"
"5556","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR FPS 60, 100 G - EPISOL SEC"
"5557","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR FPS 60, 120 A 200 ML"
"5558","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR FPS 60, FLUIDO OU SPRAY, 90 A"
"5559",""
"5560","125 ML"
"5561","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR FPS 99, 60 G - EPISOL SEC"
"5562","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR FPS70, LIVRE DE OLEO, FRASCO"
"5563",""
"5564","200ML"
"5565","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR INFANTIL FPS 60, 150 ML -"
"5566",""
"5567","NIVEA SUN KIDS"
"5568","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR INFANTIL FPS 70, 100 G - EPISOL"
"5569","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) PROTETOR SOLAR, SEM COR, FPS 99, 40 A 60 ML"
"5570","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) REMOVEDOR DE ADESIVO, SPRAY, 50 ML - SENSI"
"5571",""
"5572","CARE"
"5573","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) REMOVEDOR DE PROTEINA, SUBTILISINA, 3 ML -"
"5574",""
"5575","RENU 1 STEP"
"5576","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) RESERVATORIO SERINGA, 1,176ML,CX C/10 PCS-"
"5577",""
"5578","PARADIGM MMT326A"
"5579","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) RESERVATORIO NA FORMA SERINGA MMT 332A"
"5580",""
"5581","3ML,CX 10UN.BOMBA PAR"
"5582","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SABONETE ANTI-SÔPTICO COM TRICLOSAN, BARRA"
"5583",""
"5584","80 G - SOAPEX"
"5585","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SABONETE HIDRATANTE, BARRA 150 G-KALIMA10"
"5586","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SABONETE LIQUIDO DE GLICERINA, 200 A 250 ML"
"5587","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SABONETE LIQUIDO INTIMO, 200 ML"
"5588","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SABONETE LIQUIDO, 295 ML - CETAPHIL"
"5589",""
"5590","RESTORADERM"
"5591","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SABONETE LIQUIDO, 400 ML - LIPIKAR SURGRAS"
"5592",""
"5593","LA ROCHE POSAY"
"5594","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SABONETE LIQUIDO, FRASCO 300 ML - CETAPHIL"
"5595","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SABONETE LIQUIDO,ANTI-SEPT.C/TRICLOSAN 1%,"
"5596",""
"5597","120ML - SOAPEX 1%"
"5598","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SABONETE P/PELE SENSIVEL E RESSEC.,BARRA"
"5599",""
"5600","100G-OILATUM JUNIOR"
"5601","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SABONETE P/ROSTO E CORPO,80G-LIPIKAR"
"5602",""
"5603","SURGRAS LA ROCHE POSAY"
"5604","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SABONETE PARA PELE ACNEICA, BARRA 90 G -"
"5605",""
"5606","DERMOTIVIN SALIX"
"5607","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SABONETE, BARRA 100 G - EUCERIN PH5 SYNDET"
"5608","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SABONETE, BARRA 80 G  - CETAPHIL"
"5609","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SACO COLETOR DE URINA  DESCARTAVEL 2000 ML"
"5610","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SENSOR MEDICAO CONTINUA LEITURA DA GLICOSE-"
"5611",""
"5612","FREESTYLE LIBRE"
"5613","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SERINGA + AGULHA BD ULTRAFINE 0,5CC / 6MM X"
"5614",""
"5615","0,25MM - BD"
"5616","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SERINGA 0,5 CC  + AGULHA 8 MM X 0,3 MM - BD"
"5617",""
"5618","ULTRAFINE"
"5619","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SERINGA 1 ML  + AGULHA 8 MM X 0,3 MM - BD"
"5620",""
"5621","ULTRAFINE"
"5622","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SERINGA DESC. P/ INSULINA 0,3 ML + AGULHA"
"5623",""
"5624","8MM X 0,3MM"
"5625","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SET DE INFUSAO 10/60 DISTRONIC FLEXLINK"
"5626","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SET DE INFUSAO 13/60 - ACCU-CHEK TENDERLINK"
"5627","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SET DE INFUSAO 6/60 - ACCU-CHEK FLEXLINK"
"5628","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SET DE INFUSAO 8/60 ACCU-CHECK FLEXLINK"
"5629","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SET INFUSAO P/T 17/60 -"
"5630",""
"5631","DISENTRONIC/TENDERLINK ACCU CHEK"
"5632","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SHAMPO INFANTIL, NEUTRO, 200 ML"
"5633","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SHAMPOO ANTICASPA INTENSIVO, 125ML-KERIUM"
"5634",""
"5635","DS LA ROCHE POSAY"
"5636","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SHAMPOO, 125 ML -  DUCRAY KERTYOL PSO"
"5637","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SISTEMA DE COMPRESSAO GRADUADA PACIENTES"
"5638",""
"5639","EDEMA SEVERO TAM.L"
"5640","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SISTEMA DE COMPRESSAO LAVAVEL 40 MMHG  DE"
"5641",""
"5642","3 PECAS TAMANHO G"
"5643","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SISTEMA DE TERAPIA COMPRESSIVA 2 CAMADAS"
"5644","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SISTEMA DE TERAPIA COMPRESSIVA TRES"
"5645",""
"5646","CAMADAS, TAMANHO UNICO"
"5647","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SOLUCAO DESINFECCAO LENTES DE"
"5648",""
"5649","CONTATO,120ML-BOSTON SIMPLUS"
"5650","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SOLUCAO LIMPEZA P/PALPEBRAS, OLHOS-FREX"
"5651",""
"5652","CLEAN T OU BLEPHAGEL"
"5653","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SOLUCAO P/ LIMPEZA DE FERIDAS, COMPOSTA DE"
"5654",""
"5655","POLIHEXANIDA."
"5656","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SONDA DE ASPIRACAO TRAQUEAL N.8 -"
"5657",""
"5658","EMBRAMED"
"5659","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SONDA DE GASTROSTOMIA 14 FRENCH/CALIBRE 3"
"5660",""
"5661","CM"
"5662","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SONDA DE GASTROSTOMIA 16 FRENCH/CALIBRE"
"5663",""
"5664","2,5 CM"
"5665","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SONDA DE GASTROSTOMIA 20 FRENCH/CALIBRE"
"5666",""
"5667","1,5 CM"
"5668","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SONDA DE GASTROSTOMIA 20 FRENCH/CALIBRE"
"5669",""
"5670","2,5 CM"
"5671","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SONDA DE GASTROSTOMIA 20 FRENCH/CALIBRE"
"5672",""
"5673","2,7 CM"
"5674","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SONDA DE GASTROSTOMIA 24 FRENCH/CALIBRE"
"5675",""
"5676","2,5 CM"
"5677","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SONDA DE GASTROSTOMIA PERCUTANEA,18FR"
"5678",""
"5679","CALIBRE 1.2 (DET.)"
"5680","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) SONDA URETRAL,TAM.12 ESTERIL-BIOSANI"
"5681","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) TALCO LIQUIDO, 80 G - AMILIA"
"5682","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) TIRA REATIVA PARA CETONEMIA, CAIXA COM 10"
"5683",""
"5684","UNIDADES - OPTIUM"
"5685","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) TIRA REATIVA PARA DETERMINAÇÃO DE GLICOSE -"
"5686",""
"5687","ACCU-CHECK GUIDE"
"5688","MAT. DIVERSOS - ACAO JUDICIAL (EXCL. 450) TIRA REATIVA PARA GLICEMIA , CAIXA COM 50"
"5689",""
