"","itens"
"307","PANO DESCARTAVEL ABSORVENTE PARA LIMPEZA PESADA 150M, PICOTADO, BRANCO"
"308","PASTA PARA LIMPEZA EMBALAGEM COM 500 GRAMAS *"
"309","PEDRA SANITARIA"
"310","PURIFICADOR DE AR DESODORIZANTE EM SPRAY, FRASCO COM APROXIMADAMENTE 350ML*"
"311","REFIL PARA VASSOURA MOP PO,CONFECCIONADA C/FIOS DE ALGODAO 60 CM,C/300 GRAMAS"
"312","REFIL PARA VASSOURA MOP UMIDO, CONFECCIONADA COM FIOS DE ALGODAO (DET)"
"313","RODO DE ALUMINIO C/1 METRO PARA LIMPEZA DE PISOS"
"314","RODO DE BORRACHA COM 30 CM, COM CABO DE APROXIMADAMENTE 1,20 M *"
"315","SABAO EM BARRA COMUM, COM 200 GRAMAS*"
"316","SABAO EM BARRA DE COCO, COM 200 GRAMAS*"
"317","SABAO EM PO EMBALAGEM COM 1 KG  *"
"318","SABAO GLICERINADO PARA USO EM COZINHA EM BARRA,PECA C/200 GR APROX,PACOTES C/5UNIDADES NO MAXIMO*"
"319","SACO DE TECIDO DE ALGODAO PRE-LAVADO PARA LIMPEZA*"
"320","SAPONACEO CREMOSO EMBALAGEM COM 300ML"
"321","SAPONACEO CREMOSO PARA LIMPEZA PESADA DE SUPERFICIE,C/300 ML"
"322","SAPONACEO EM PO EMBALAGEM COM 300 GRAMAS *"
"323","SECANTE PARA MAQUINA DE LAVAR LOUCAS INDUSTRIAL **"
"324","SILICONE COM BICO DOSADOR,TUBO COM 300 ML"
"325","SILICONE PARA USO EM PISTOLA, TUBO COM 280 GR"
"326","SOLUCAO LIMPADORA KIT LIMPA TELAS"
"327","SUPORTE PARA DISCO DE ENCERADEIRA C/ FLANGE"
"328","TELAS DE POLIETILENO"
"329","VASSOURA CABO P/MOP ÞMIDO EM ALUMINIO 22MM, C/ APROXIMADAMENTE 1,40 M"
"330","VASSOURA COM CERDAS DE NYLON, CABO DE MADEIRA *"
"331","VASSOURA DE NYLON COM CABO DE METAL, MEDINDO APROX. 1,20 METROS *"
"332","VASSOURA DE PALHA COM CABO DE APROX. 1,00 M, COM 5 FIOS *"
"333","VASSOURA PARA GRAMA"
"334","VASSOURA TIPO VASSOURAO"
"335",""
"336","ACENDEDOR DE FOGAO A GAS"
"337","ASSADEIRA RETANGULAR EM ALUMINIO"
"338","BACIA DE PLASTICO REDONDA"
"339","BANDEJA PLASTICA SUPERFICIE LISA,TAMANHO APROX.35X25CM PARA MEDICACAO"
"340","BATEDEIRA TIPO INDUSTRIAL(PLANETARIA) 4 LITROS"
"341","BATEDEIRA TIPO INDUSTRIAL(PLANETARIA) 8 VELOCIDADES"
"342","BATEDEIRA TIPO INDUSTRIAL(PLANETARIA) COM NO MÍNIMO 4 VELOCIDADES"
"343","BULE DE ALUMINIO COM TAMPA CAP DE 2 LITROS"
"344","CAFETEIRA ELETRICA TIPO INDUSTRIAL"
"345","CAIXA PLASTICA PARA HORTIFRUTI"
"346","CAIXA PLASTICA PARA USO COM ALIMENTOS 70L 70X35X35CM"
"347","CANECA DE ALUMINIO"
"348","CANECA PLASTICA EM POLIPROPILENO C/ALÇA CAPACIDADE DE 300ML CORES DIVERSAS"
"349","CHALEIRA DE ALUMINIO POLIDO, C/ ALCA, CAP. P/03 LITROS"
"350","CILINDRO PARA PREPARACAO DE MASSAS SOVADOR"
"351","COLHER DE ACO INOX COM GANCHO"
